datetime	lat	long	alt	vel_x	vel_y	vel_z	acc_x	elevation	source	location	vehicle	device	freq	sig_strength	sig_strength_Dbm		
36:50.7	33.15144536	-116.6627287	30.98217773	2.75417161	-8.695304871	0.144524857		30.98217773	0	1	0	0	470.309	-21.701366	-69.8253242		
36:53.1	33.15152265	-116.6629717	30.62585449	4.389713287	-10.37201595	-0.146893099		30.62585449	0	1	0	0	470.309	-21.854511	-69.97938807		
36:55.5	33.15162702	-116.6632477	31.09411621	4.917495251	-10.38105297	-0.14844425		31.09411621	0	1	0	0	470.309	-19.797934	-67.9104716		
36:57.9	33.1517403	-116.663507	30.64074707	5.150781155	-9.271616936	-0.968389988		30.64074707	0	1	0	0	470.309	-20.734787	-68.85294572		
37:00.3	33.15176838	-116.6635941	30.99365234	-0.202470645	-0.497867465	-0.076321706		30.99365234	0	1	0	0	470.309	-20.428066	-68.5443844		
37:02.7	33.15168326	-116.6636554	31.03601074	-6.818953991	-3.614102364	-0.29219228		31.03601074	0	1	0	0	470.309	-18.575031	-66.68023119		
37:05.1	33.1515052	-116.6637586	30.8482666	-6.230461597	-2.819056034	0.46535179		30.8482666	0	1	0	0	470.309	-17.597097	-65.69642958		
37:07.5	33.15136063	-116.663822	31.09423828	-7.822070122	-3.288568974	-0.406198442		31.09423828	0	1	0	0	470.309	-21.247112	-69.36834467		
37:10.0	33.15124118	-116.6638756	30.86340332	-4.281104088	-1.677167416	-0.126788184		30.86340332	0	1	0	0	470.309	-20.283607	-68.39905864		
37:12.4	33.15117283	-116.663891	30.7434082	-2.16269207	1.040397286	-0.577302575		30.7434082	0	1	0	0	470.309	-21.569508	-69.69267505		
37:14.9	33.1511298	-116.6638346	30.86218262	-1.824853897	3.127501488	0.112796746		30.86218262	0	1	0	0	470.309	-21.087488	-69.20776293		
37:17.3	33.15108748	-116.6637191	30.81640625	-2.105979919	5.257394314	0.020169159		30.81640625	0	1	0	0	470.309	-19.662966	-67.7746938		
37:19.7	33.15103389	-116.663554	30.83959961	-3.07035017	7.765684128	0.005665807		30.83959961	0	1	0	0	470.309	-19.606186	-67.71757312		
37:22.1	33.15095093	-116.6633282	30.98901367	-4.192602158	9.409386635	-0.0049295		30.98901367	0	1	0	0	470.309	-21.082802	-69.20304881		
37:24.5	33.15085658	-116.6630637	31.05004883	-4.874663353	10.9874382	-0.212112248		31.05004883	0	1	0	0	470.309	-19.574657	-67.68585494		
37:26.9	33.15074015	-116.6627613	30.76416016	-6.007644653	12.32635403	-0.063189872		30.76416016	0	1	0	0	470.309	-18.906151	-67.01333791		
37:29.3	33.15060094	-116.662413	30.95910645	-6.642702579	14.10804176	-0.147650868		30.95910645	0	1	0	0	470.309	-21.262482	-69.38380689		
37:31.7	33.150451	-116.6620137	30.95581055	-7.095900536	16.93508911	-0.021167796		30.95581055	0	1	0	0	470.309	-20.234724	-68.34988234		
37:34.1	33.15028173	-116.6615394	31.05322266	-7.815246105	18.93898964	-0.211774096		31.05322266	0	1	0	0	470.309	-16.305485	-64.39706791		
37:36.5	33.15010977	-116.6610359	30.94604492	-7.82578516	19.34517479	-0.84152329		30.94604492	0	1	0	0	470.309	-18.353115	-66.45698369		
37:39.0	33.14993374	-116.6605201	30.09973145	-8.062894821	18.75710106	0.338603586		30.09973145	0	1	0	0	470.309	-15.33841	-63.42419046		
37:41.5	33.14976407	-116.6600644	30.66784668	-7.188080311	15.92405224	0.195703909		30.66784668	0	1	0	0	470.309	-21.868818	-69.99378091		
37:43.9	33.14961692	-116.6596717	30.80041504	-7.001458645	14.80411243	0.241564557		30.80041504	0	1	0	0	470.309	-14.794776	-62.87729466		
37:46.3	33.14946968	-116.6592937	30.71911621	-6.554353714	14.31688976	0.162847549		30.71911621	0	1	0	0	470.309	-21.010305	-69.13011683		
37:48.7	33.14933292	-116.6589381	31.06542969	-6.290673256	13.53259563	-0.054092929		31.06542969	0	1	0	0	470.309	-15.586394	-63.67366236		
37:51.2	33.14919675	-116.658585	30.67565918	-6.250117302	13.29517269	0.101055808		30.67565918	0	1	0	0	470.309	-15.217427	-63.30248156		
37:53.6	33.14905326	-116.6582413	30.95483398	-6.496346951	13.06739616	0.216087282		30.95483398	0	1	0	0	470.309	-15.455238	-63.54171943		
37:56.1	33.14891123	-116.6579017	30.64013672	-6.154110909	12.89534378	0.025267569		30.64013672	0	1	0	0	470.309	-16.696293	-64.79022076		
37:58.5	33.14878173	-116.6575711	30.76184082	-5.540075302	12.38612175	-0.145530894		30.76184082	0	1	0	0	470.309	-21.97238	-71.14296148		
38:00.9	33.1486717	-116.6572538	30.76257324	-4.99928236	12.01560307	0.045568515		30.76257324	0	1	0	0	470.309	-20.938129	-69.05750777		
